movie,sentence,score,label
퍼펙트 케어,살다살다 영화보면서 악당들 응원하긴 첨이네,6,0
모비우스,또 다른 박쥐 다크 히어로 영화! 잼있게 잘봤습니다^^!,10,1
모비우스,배우 연기력 너무 좋네요 재밌어요,10,1
배니싱: 미제사건,믿고 보는 배우 유연석킬링타임용으로 좋네요,10,1
스포트라이트,가짜뉴스와 기레기들이 판치는 세상에 언론의 참 역할을 되돌아 보게 된다 실화를 잘 구현해낸 것 같은 구성과 연기에 몰입도 최고! 영화가 끝난 후에 힘듦스포트라이트팀과 함께 뛰어다닌 느낌,9,1
모비우스,이건 극장에서 꼭 봐야함,10,1
모비우스,자레드 레토 연기력에 홀리면서 보게 되는 영화임..  빌런이랑 히어로 오가는 연기력... 미친듯,10,1
모비우스,여기가 쿠키 맛집인가요?,8,1
모비우스,액션은 진짜 멋있다.... 자레드 레토 진짜 인생캐 등극ㄷㄷ,10,1
친구2,또본다.. 김우빈 중국집 폭주 장면은 봐도봐도 명장면 ,10,1
인디펜던스 데이,웅장해지는 영화 ㅋㅋㅋ 외계인물 역대급대작이죠,10,1
모비우스,새로운 스타일의 마블 영화 굿!,10,1
모비우스,박쥐와 사람간의 조합이라 흥미진진했고 귀여운 고양이에 제대로 치였다....ㅠ,10,1
모비우스,기대 안하고 봤는데 재밌게 잘 봤어요!~,10,1
모비우스,자레드 레토 진짜 쩔었다..ㅠㅠㅠ,9,1
모비우스,진짜 별로네ㅇ노ㅜㅜ,3,0
모비우스,액션신이 많아서 좋네요ㅋㅋ 시간 가는 줄 모르고 빠져서 봤습니다,10,1
모비우스,킬링타임용으로 적당함,8,1
해적: 도깨비 깃발,그냥저냥 킬링타임용으로 적당,8,1
스펜서,괜찮았습니다 볼만했음,10,1
스펜서,아무것도 모르고 갔는데 계속 생각나는 영화어떤 장면들은 다시 보고싶은,10,1
소울,우리의 세상은 아름다워.,10,1
모비우스,재밌게 봤어용 2편 기대됩니당~ㅎㅎ,10,1
모비우스,"오랜만에 실망하지 않은 마블 영화, 과연 후속을 어떻게 이어갈지 궁금하다",8,1
여자라는 이름으로,지구에서 여성들의 삶은 어디나 다 비슷비슷하구나. 시작부터 끝까지 남성에게 대상적 존재로 전락하는 여성의 모습을 순간순간 잘 담아냈다. 90분 정도라 부담없이 볼 수 있어서 더욱 추천한다. ,8,1
테이큰 2,스토리는 그렇다 쳐도 구해주는 과정에서 뭔가 어설프고 격투 액션도 뭔가 똥싸다 만것처럼 중간중간 과정도 짤라먹고 마지막 조무래기랑 싸울때 무슨 아저씨 마지막 부분마냥 힘겨운 격투를 하다가 언제 죽엇는지도 모를정도로 즉사하질않나ㅋㅋ 개 어이없음,5,0
배니싱: 미제사건,러브라인은 빼는게 나았을듯..개연성도 떨어지고 장르도 애매함..억지스럽다고 느꼈구요여주인공 수술 끝내고  음악 나오는장면부터는..차라리 빼는게 나았을듯,6,0
모비우스,자레드 레토 완전 찰떡인듯!! 후속편 기대됩니다!1,10,1
리디밍 러브,호세아 이야기를 바탕으로한 기독교 색채가 진한 이야기지만 &amp;#39;아이 스틸 빌리브&amp;#39;류 보다는 충분히 견딜만한 수준이긴 하다. 그 영화에서도 나왔던 애비게일 카우언이 상당히 매력적으로 등장한다.,5,0
모비우스,자레드 레토가 다함 ㅠㅠㅠ 자레드 레토 연기 때문에 스토리를 겨우 납득할 수 있었음! 생각보다 재미없지 않았고 나름 괜춘했다,6,0
모비우스,진짜 재미 없음 보다가 좀...하,2,0
뜨거운 피,음향의 문제인가..연출의 문제인가..,3,0
작전,주식에 대해 이렇게 재밌고 유쾌하게 그려낼 수 있다니 너무 재밌게 봤습니다. 그리고 고 박용하님이 보고싶고 그립습니다 ㅠ,10,1
모비우스,기대 안하고 봤는데 베놈 보다 재밌네 ㅋㅋ ,8,1
B컷,스토리도 충분히 일어날법한 이야기..특히 여배우의 차분한 연기에 전세현 배우를 다시보게된 영화..추격신에서 조마조마 스릴을 맛보게해준..잘봤습니다^^,10,1
모비우스,총체적 난국 그 자체 ㅎㅎ,1,0
코다,감동짱!...멋있어요 ,10,1
하로동선,노무현 대통령이 계신 하로동선에 가서 위로 받고 싶네요~,8,1
모비우스,자레드 레토 인생캐 만났네,10,1
모비우스,쿠키영상 보니까 2편이 기다려집니다!!,10,1
모비우스,"자레드 레토 진짜 연기 미쳤,,,",9,1
모비우스,평점보고 기대를 안했지만 저는 배우들 연기 덕분에 너무 재밌게 잘 봤습니다.,10,1
모비우스,스케일도 그렇고 액션에서도 완전 100% 만족합니다,10,1
모비우스,공중전에서 싸울때 입 벌리고 봤음;;,9,1
뜨거운 피,이게 느와르지 이야 진짜 간만에 쩔었다ㅔ,10,1
모비우스,베놈보단 무조건 재미있다.,10,1
모비우스,다음 편은 언제나와..?,10,1
모비우스,눈과 귀를 압도해 버리는 액션씬과 거대한 스케일!,10,1
뜨거운 피,"50대라서 그런지, 옛날생각도 나고, 소설이 원작이라 그런지 억지로 만든거 같지 않고 그냥 날것으로 본것 같다. 어 어 아 어 어 아 가슴이 아프면서 그냥 내가 거기있는거 같았다. 넘 좋았다",10,1
이터널스,어벤져스랑싸우면 어벤져스가 이길듯너무노잼ㅋㅋㅋ,2,0
듄,진짜 위대한&amp;#39;시작&amp;#39; 인 영화,10,1
배니싱: 미제사건,"개봉당일 아침부터 그러니까, 맨 아래 별10개 평점들은 하나같이 영화관 알바 라는거지? 왜냐면 죄다 똑같은 말만 반복함 유연석 얘기 ..ㅋㅋ위에서 평점 좋게 남기라고는하고 영화는 안봤고 남길말은 유연석 배우 짱! 이거뿐이겠지 ..",2,0
언프레임드,이제훈 감독의 작품 보는 내내 안타깝고 답답한 청춘의 모습에 가슴이 아팠어요. 박정민 감독 작품도 보는 내내 안쓰럽고 짠하고 손석구 감독 작품은 마지막에 울고 있는 내 자신을 발견했네요. 네 작품 모두 보고 나면 생각이 많아지는 내용입니다. 강추,10,1
파도가 지나간 자리,꽤나 지루한 영화였지만 그래도 괜찮았던 두가지는 독일인 남편의 ‘용서는 한번이면 된다’ 는 말에서 주는 여운과 레이첼 바이스(와이즈) 의 깊은 눈빛이었다. 남녀주인공의 비중이 높았지만 남녀 주인공보다 레이첼 바이스의 연기가 더 와닿는다. ,8,1
더 배트맨,그냥 영화도 너무 길고 숙면 취했어요 베트맨이란 캐릭터에 원래 매력을 많이 못 느껴서 그런지는 몰라도,1,0
모비우스,기대를 내려놓고 보면 무난한 영화,6,0
사랑 후의 두 여자,남겨진자들이 오롯이 받아들여야 하는것,7,0
안테벨룸,"220331[8]초중반에서 목화를 왜 태우지..라는 생각이 들면서 부터 뭔가가 있었는데, 와..!",8,1
스파이더맨: 노 웨이 홈,손 꼽히는 명작중하나이다. ,10,1
모비우스,베놈2보다 약간 나은 정도.. 소니는 히어로물 만드는 방식이 다 똑같은건가..? 캐릭터만 달라지고 플롯은 늘 같다...ㅋㅋ; 생각없이 보는 킬링타임용 영화. 쿠키는 2개인데 엔딩크레딧 올라가기전에 2개 다 나오니까 엔딩 크레딧 5~10분 기다리는거 안하셔도 됩니다,6,0
소리도 없이,잘나가다가 여경나오고 현실성없는 삼류가 되어버리는. 여자 감독이라 그런가 어떤 여경이 컴컴한 산속 혼자 단속 나가냐. 그리고 범인인거 알고 일대일 격투까지. 영화 추격자가 현실적인 반응이지. 여자감독이라 현실감이 없네,6,0
모비우스,자레드 레토는 슈퍼히어로 영화와 인연이 없는 듯,7,0
배니싱: 미제사건,뒤에 스토리가 짤린 영화. 이상해요,4,0
더 배트맨,암울한 분위기가 매력적,10,1
모비우스,너무 재밌었어요ㅎㅎㅎㅎ,10,1
코다,실망스런 휴먼 드라마.답이 정해진 감동..아카데미는 스스로 레벨을 낮추고 있다?,4,0
나일 강의 죽음,스릴러보다는 시대물이나 드라마 장르로 봐야할듯. 20세기의 탐정물들은 현 21세기엔 공감이 안됨  굿바이 아가사 크리스티  굿바이 코난도일!,6,0
배니싱: 미제사건,이런 밑도 끝도 없는 영화 진짜 처음이라 당황스럽네요..ㅠㅠ,2,0
킹 리차드,재능도 중요하지만 그 배경에 헌신적인 부모의 역활이 얼마나 중요한지를 잘 보여준 영화다. 2시간이 넘는 영화시간이 순삭이었다.,9,1
돈 룩 업,하나의 큰 사건을 가지고이렇게 잘 돌려까는 감독이 얼마나 될까,9,1
코다,"원작인 미라클 벨리에 만큼이나 감동적으로 잘 만들었고, 주인공 노래실력은 코다가 더 잘하더라고요! 애플 대단해요!",10,1
배니싱: 미제사건,영화자체가 미제사건이다.,3,0
