movie,sentence,score,label
모비우스,믿고보는 마블스토리 ㅋ,10,1
블랙라이트,액션을 기대하고 봤다면 반대. 연기를 기대하고 봤다면 끝까지,7,0
모비우스,사전정보 없이 봤는데 러닝타임 내내 시간 가는 줄 모르게 봤습니다,10,1
모비우스,미쳤다.. 내 시간 순삭 당하고 옴,10,1
모비우스,이 영화는 한마디로 헤리포터+제다이(스타워즈)+호빗+스타트렉  4가지의 영화를 합친것 보다 4배나 재미있음,10,1
모비우스,자레드 레토 연기 너무 잘함ㄷㄷㄷ,9,1
배니싱: 미제사건,"느닷없는 개연성과 범죄스릴러에 억지로 로맨스 장르를 부합하는 어이없는 시도...평소 영화 보는 눈이 높은편이 아니지만 소재만 아까울뿐, 전개가 너무 별로였습니다",2,0
캐빈 인 더 우즈,"평점7점이라서 꺼렸는데, 누가 추천해줘서 봤는데 진짜 재미지게 봄 ㅋ",10,1
모비우스,"베놈2 보다는 훨씬 잘만들었다.OST는 다크아니트 느낌이 강하게 느껴진다,표절했나? 이정도로 비슷하게 들렸다.",6,0
모비우스,"마블 영화를 전체적으로 봐왔던 사람으로써 이 영화는 단순히 생각 없이 보길 추천함. 설정 자체는 식상함. 능력 씬이나 전투씬 같은 경우는 나쁘지않지만 일단 스토리 자체에서 기대를 하고 볼 필요가 없다고 생각함. 정말 내가 봐왔던 영화중에서 가장 내용이 예측이 가능하면서도 내용이 한결같아서 어이가 없음. 솔직히 말하면  연출을 엄청 기대하면서 영화보길 기다렸는데 끝나고 나니 허무함이 밀려옴. 일반적인 히어로물이나 세계관을 이해하기 위해서 보는 사람들에겐 추천하지만, 탄탄한 스토리나 각 영화 특유의 연출을 좋아하는 사람에겐 비추임. ",3,0
모비우스,올해 최고의 코미디영화,2,0
뜨거운 피,경상도 토박인데 사투리 어색해서 집중 안됐음.어색한 사투리+웅얼웅얼 대사쳐서 뭔 말인지 모르겠음. ,1,0
뜨거운 피,큰 기대를 안하고 관람해서 그런지...아주 재미있지도 않고 아주 재미없지도 않았던 그런 영화로 기억됩니다.이런 류의 영화를 좋아하는 분이라면 Killing Time 용으로 보셔도 될 것 같습니다.,6,0
2012,생존하게 해준 고든이랑 샤샤만 살았어도 좋았을듯 ㅠㅠㅠ,10,1
하로동선,잔잔하니 감동적이네요. ,10,1
배니싱: 미제사건,진짜 영화가 미제다 미제 ,6,0
뜨거운 피,진짜 재미없고 말 소리도 잘 안들리고ㅡㅡ,5,0
뜨거운 피,연기들은 다들 볼만한데...,6,0
스파이더맨: 노 웨이 홈,시간 가는줄도 모르고 봐습니다!,10,1
모비우스,"일단 평점 맞춥니다 이야~ 신선한 액션씬, 물렁물렁 이펙트 그리고 상징색 보라색으로 물결마무리 스토리 구성방식 좋았습니다 외국 평점이 안 좋아서 정말 그럴까?하는 의구심으로 보았음에도 이 정도면 준수합니다 다음이 기다려지네요 마블빠면 뭐다? 세계관 위해서라도 봐라 ㅎ",10,1
모비우스,저 아직 안봤는데 솔직히 못봐줄정도는 아닌가요? 아님 개 씹노잼인가요?,10,1
모비우스,베놈 때문에 기대치를 너무 낮게 가지고 가서 그런지 몰라도 영화 진짜 너무 잘나왔음 소니 스파이더 유니버스가 이렇게 이어지는거에 놀랐고 액션씬 스토리는 베놈보다 100배는 낫다속편 너무 기대합니다 ,10,1
모비우스,쿠키영상 2개와 함께 순식간에 사라져 버렸다...,8,1
스펜서,크리스틴 스튜어트 영상 화보집.,6,0
뜨거운 피,재밌게 봤습니다. 평점이 왜 이리 낮은지 모르겠네요.,10,1
모비우스,재미없을줄알아는데 액션신이 신선하네요.추천드립니다,10,1
뜨거운 피,정우와 지승현 연기 좋았습니다.,8,1
모비우스,평점이 와 낮은지.모르나 잼남...다만 쿠키는 진짜.재미없음. 기대감이 없다는..;,9,1
킹 리차드,테니스 경기 장면도 흥미로웠고 단지 챔피언이 되기 위해서가 아닌 그들의 인생도전 스토리도 무척 흥미로웠다,8,1
배니싱: 미제사건,"이런 장르에서의 유연석은 처음이었던 것 같은데, 너무나도 잘 어울리는구만쫄깃하고 긴장감 있는 신선한 전개 좋았다",10,1
모비우스,히어로 영화는 언제나 갑인 듯,10,1
모비우스,그냥 킬링타임용 무비 소니는 도대체 왜 똑같은것을 반복할까 이렇게 매력적인 캐릭터를 왜 단순하게 소비시키는지 모르겠다,6,0
모비우스,쿠키 보고나니 이후 스토리가 더 궁금해진다ㅠㅠ,10,1
모비우스,별기대 안하고 봤는데 정말 재미있내요.액션신 분량이 많아서 지루하지 않고 캐릭터가 너무 매력 적이내요.,10,1
B컷,"오랜만에 김동완 영화에서 보니 좋네, 역시 김병옥 배우의 악역은 ㅎㄷㄷ소재도 나름 신선해서 재밌게 봄",10,1
봉오동 전투,개인적으로 이영화부터라도 초등학교4학년부터라도 아이들에게 보여주고 일본에대한경각심과 우리나라의역사를제대로알려줬음한다 캐스팅도좋았고 가슴이웅장해지고 잊혀져선안될역사를 리얼하게볼수있어서감사합니다 일본배우들도 너무감사하고 이영화를통해서라도 역사를 제대로 알아줬음좋겠습니다.,10,1
더 배트맨,설득력 없는 선과 악의 대결과 러닝타임,4,0
배니싱: 미제사건,볼 가치가 없음 시간 아까움 넷플릭스에서 아무거나 봐도 이것보단 재밌을 듯 함,2,0
극장판 주술회전 0,주술회전은 순애야..,7,0
모비우스,일단 전투신부터 평가하자면... 그냥 뿌연거 날라다니다 그게 끝입니다. 소니는 그냥 마블관련 판권 다시 돌려주는게 좋지 않나 합니다. 내용은... 여주 이쁘다 밖에 없는 듯... 공장에서 대량생산된 스토리라고 밖에 말 못하겠습니다.,4,0
모비우스,재밌음 쿠키영상에서 소름 돋음 ,10,1
배니싱: 미제사건,페이지 터너 감독 작품이었군요. 색다른 스릴러. 알리스가 트라우마를 극복하는 상징적인 장면 연출이 멋지네요. 유연석 배우 대부분 영어로 연기로 연기하는데 이 몰입감 무엇. 프랑스 영화답게 상징적인 씬들이 흥미롭네요. 추천합니다.,10,1
사랑 후의 두 여자,제목이 좀 그래서 망설였지만 상 탄 이력이 있대서 봤더니 상을 백 번 타고 남을 만함,10,1
B컷,"김동완이 진짜 열심히 연기했고, 좋았음",10,1
스펜서,크리스틴 스튜어트를 캐스팅한게 좋은 의미로 묘한 호과를 가져온거 같다,10,1
모비우스,개머시따.. 너무 내취향임,10,1
뜨거운 피,"소설의 디테일을 다 보여줄수 없었지만, 캐스팅은 완벽에 가까운거 같다.",10,1
모비우스,잼나게 잘봤습니다 다음편이 궁금해지네요.,10,1
골든슬럼버,클레멘타인 게 섯거라!,10,1
모비우스,너무 기대했었나...,7,0
사랑 후의 두 여자,"그들이 사랑을 위해 선택하고 포기한 것들, 그리고 사랑 후에 남겨진 것들을 아름답게 잘 그린 듯 하다. 뭔가 여운이 길다.",10,1
모비우스,진짜 애미없고 왜 만들지 모르겠음,1,0
모비우스,개압도적인 액션씬과 시청각을 자극하는 거대한 스케일.. 특히 전투 씬 보고 마스크 안에서 절로 입벌어짐 ㄷㄷㄷ,10,1
배니싱: 미제사건,"유연석이랑 올가 케미가 대박적,,,,긴장감있어서 러닝타임 내내 재밌게 봤움ㅠㅠㅠㅠ",9,1
뜨거운 피,"얽히고 섥힌 나름 반전이 있는 영화 ,,근데 나만 못알아들은 줄 알았더니 꽤 못알아들으신 분이 많네요 ㅜㅜ",8,1
500일의 썸머,생애 가장 뜨거웠던 여름날 ,8,1
모비우스,영화 보고나오자마자 다음편이 궁금해지는 매직... 2편 어디쯤이니..오고 있는거니...?,10,1
모비우스,개봉일에 보러간 보람이 있다ㅋㅋ 모비우스 능력 쓸때마다 간지 오바..;; 음파 능력 엄청 잘 살려서 좋았고 쿠키까지 버릴게 없다 굿굿,10,1
모비우스,캐릭터가 굉장히 매력적.. 자레드 레토 진짜 너무 멋짐,10,1
모비우스,오랜만에 느끼는 묵직힌 영화적 쾌감,10,1
모비우스,와 자레드  레토 믿고봐도 되겠네,10,1
모비우스,이건 무조건 엔차 찍어야함 ㅋㅋㅋ 떡밥 오졌고 쿠키보고 나오자마자 또 봐야겠다 생각함,10,1
모비우스,이런 영화는 무조건 아맥ㄱㄱ,10,1
